TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted RV Semi-amplitude (m/s),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,Rp/R* (derived),needs_a_over_rstar,needs_inclination,needs_eccentricity
403224672,141.01,,1,5,5,5,4,1,2,13.3,129.0,3.62,2.2,12,14,21,CP,CP,7.384,0.006,,1,qlp-s68-ffi,SPOC,22:35:56.09,-59:51:53.38,-108.388,0.05,-84.419,0.064,2460178.671412,0.0016377,1.0082361,1.5e-06,1.41,0.24,0.247576,0.013239,228.0,12.1939,1.7202,0.0924458,1882.94,1835.0,26.0,48.0883,0.0989,5795.29,44.5804,4.438,,1.13,0.05,,,1.04,0.129204,"1,27,28,68",2018-09-05,2023-11-15,2025-07-31 12:59:22,HD 213885 b,0.0150996688705415,True,True,True
425934411,142.01,,3,5,5,3,1,4,4,90.9,142.8,106.62,102.2,9,0,0,PC,PC,14.7109,0.007,,1,spoc-s01-s69-b0A-PC,SPOC,00:18:25.41,-62:50:52.35,6.11,0.068,5.18,0.059,2458325.485901,0.00031706883,0.853353400370258,2.794214e-06,1.20187368372282,0.050757922,27.577917,1.143004,25080.3290694969,1052.1915,12.6007180262434,4.5996604,262.102538592811,1026.21310498321,37.0026,320.237,4.469,3658.0,162.0,4.438,,0.608075976371765,0.0190377,,,0.594628,0.0208477,"1,2,28,29,68,69",2018-11-14,2024-04-24,2025-07-31 12:59:22,V-shaped; slight odd-even depending on detrending,0.1583677021033547,True,True,True
261136679,144.01,,1,5,5,5,4,1,1,17.1,202.3,4.65,1.5,0,15,4,CP,CP,5.1054,0.006,,1,qlp-s62-ffi,SPOC,05:37:11.83,-80:27:52.57,311.187,0.127,1048.84,0.136,2460011.550653,0.0028276,6.267832,2.29e-05,2.789,0.237,0.348577,0.008096,321.0,7.45646,1.99779,0.0837751,203.434,1052.0,53.0,18.2702,0.0226,5950.0,,4.438,,1.15,0.05,0.0887839,0.00649598,1.1,0.140389,"1,4,8,11,12,13,27,28,31,34,38,39,61,62",2019-05-07,2023-04-04,2025-07-31 12:59:22,pi Men c,0.017916472867168916,True,True,True
265612438,145.01,,3,4,4,3,3,4,4,14.1,46.3,58.95,22.3,10,1,3,PC,PC,11.6789,0.006,,1,qlp-s28-tois,QLP,22:12:41.93,-55:58:43.69,-5.816,0.065,-4.917,0.063,2459060.6424,0.00377,5.13002,3e-05,4.78,0.69,3.671647,0.002188,3376.0,2.01525,8.86428,0.524885,842.866,1501.0,22.0,438.421,8.695,5430.7,64.5,4.4,2.0,1.58,0.08,,,0.97,0.117664,"1,27,28",2018-09-05,2021-12-07,2025-07-31 12:59:22,Some confusion about whether source is this star or the close pair of equal brightness stars to the NE (260985864)- but difference image seems to indicate source is more likely to be this star.,0.058103356185335804,True,True,True
393940766,148.01,,3,4,4,3,4,3,5,13.0,60.0,43.22,15.0,11,2,1,PC,CP,11.7835,0.006,,1,qlp-s28-tois,QLP,22:33:16.99,-38:09:35.38,22.348,0.07,-25.839,0.072,2458327.32937,0.00191,4.86709,2e-05,3.103,0.389,4.580598,0.003424,4210.0,3.15395,7.42915,0.444077,435.152,1272.0,14.0,395.257,9.729,5814.3,793.8,4.34,2.0,1.15,0.06,,,1.13,0.153555,"1,28",2018-09-05,2022-10-17,2025-07-31 12:59:22,Planet candidate around 393940766 to the NW.,0.06488451279003334,True,True,True
260985861,149.01,,3,5,5,3,3,4,4,108.6,129.9,317.0,111.6,4,1,1,PC,PC,10.8727,0.01,,1,spoc-s01-s69-b0A-PC,QLP,05:06:32.44,-80:46:04.83,-7.91,0.16,22.707,0.195,2458597.939863,0.0002238981,3.33994317642266,1.3291042e-06,4.25347040913592,0.029700065,9.897027,0.083704,9074.07878323563,77.09109,,,522.442709948076,1219.35191173938,117.076,380.81,9.2885,5095.6,1212.6,,,,,,,,,"11,12,13,27,28,38,39,61,62,65,66,67,68",2018-09-05,2024-02-23,2025-07-31 12:59:22,multiple stars in pixel; no stellar radius,0.09525795915951396,True,True,True
271893367,150.01,,3,5,5,3,4,4,4,40.6,104.4,125.8,41.9,4,2,3,CP,CP,10.9031,0.006,,1,spoc-s01-s39-b0A-CP,QLP,07:31:51.7,-73:36:21.73,-15.215,0.029,27.144,0.033,2459995.645628,0.0014220501,5.85740753759727,3.0940705e-06,5.85480292934519,0.02472023,7.069098,0.029277,6489.73023457872,26.96511,13.8892761532574,0.61632216,750.922027314322,1335.1143400762,157.52177,336.267,1.916,5982.9,108.8,4.03,0.08,1.6798700094223,0.0741256,0.211186,0.046085,1.1,0.141051,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,39,61,62",2018-09-05,2023-10-05,2025-07-31 12:59:22,TOI 150 b,0.08055886192455006,True,True,True
129637892,155.01,,3,4,3,3,4,4,4,12.1,66.7,24.36,7.2,6,10,4,PC,PC,9.0284,0.006,,1,qlp-s68-ffi,QLP,21:24:27.6,-37:51:00.65,7.193,0.049,-6.279,0.051,2460168.813769,0.0018141,5.4499753,7.9e-06,4.319,0.361,1.056936,0.025955,973.0,23.9056,5.28759,0.246683,839.203,1499.0,26.0,187.131,1.351,6220.5,151.8,3.99,0.36,1.79,0.08,,,1.35,0.213853,"1,28,68",2018-09-05,2023-11-16,2025-07-31 12:59:22,,0.031192947920964442,True,True,True
140691463,157.01,,3,5,5,3,4,4,4,70.6,155.0,119.01,59.6,8,1,1,CP,CP,12.0166,0.006,,1,spoc-s01-s69-b0A-CP,QLP,04:54:48.35,-76:40:50.18,11.712,0.035,-18.922,0.05,2458543.338324,6.235237e-05,2.08454341779798,2.925569e-07,2.01703803867042,0.008200487,13.662544,0.047224,12504.8250190009,43.493595,13.4432705000237,0.7049504,1085.49425855578,1463.95130869393,371.14728,355.683,2.826,5638.0,133.9,4.35,0.08,1.10645997524261,0.0579346,,,1.0,0.132466,"9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69",2018-09-05,2024-02-14,2025-07-31 12:59:22,TOI-157b (Nielsen+2020),0.11182497493404996,True,True,True
394657039,159.01,,3,4,4,3,3,4,4,90.2,121.3,317.0,98.2,6,3,4,PC,PC,10.5132,0.006,,1,qlp-s39-tois,QLP,03:27:07.74,-78:32:59.39,11.616,0.057,1.959,0.043,2459382.232709,0.0004284,3.7628372,3.2e-06,3.956,0.019,12.404555,0.000206,11360.0,0.18932,17.3305867366452,0.7854587,1797.82720739528,1660.75946671256,297.0,347.593,2.519,6979.2,136.5,4.22,0.09,1.58746004104614,0.0717136,0.17,0.12,1.53,0.269377,"1,2,12,13,28,32,39",2018-09-05,2022-10-17,2025-12-03 00:00:00,low amplitude pulsations ~ 1 day potentially phased with planet period,0.10658330075579382,True,True,True
