time_btjd,flux_normalized,flux_err
3603.464430127964,0.997424069948158,0.00018516767368621377
3603.4667448946657,0.9980785959570077,0.00018522563422256023
3603.469059661366,0.9982225324458316,0.00018524452056499247
3603.4713744276,0.9995043372269634,0.00018535984872800718
3603.4736891943003,0.9983667058671475,0.00018525659567673132
3603.476003961,0.9979335932719702,0.00018522437609714553
3603.4783187277,0.9992529518530668,0.00018534327617944106
3603.4806334944,0.9989560754407271,0.00018531189535013172
3603.4829482611012,0.998391583778796,0.00018525593046099482
3603.4852630273363,0.9983341276495123,0.0001852460100697938
3603.487577794035,0.997692040596487,0.00018519632134651875
3603.4898925607367,0.9987748220844301,0.0001852972172202935
3603.492207327437,0.9970809916998994,0.000185138114969574
3603.4945220936706,0.9992105409370182,0.00018534797607323164
3603.4968368603713,0.9990525069649268,0.00018531766537358539
3603.499151627071,0.9996931724230008,0.00018537740463896643
3603.501466393306,0.9978799280625568,0.00018521131762301357
3603.503781160007,0.9976743891258412,0.00018519332787570445
3603.5060959267066,0.9992682339987938,0.00018534003686802847
3603.5084106929407,0.9979004227231054,0.00018521691411192728
3603.510725459641,0.9990272736545404,0.00018531282086767817
3603.5130402258756,0.9980085824056538,0.0001852200955784932
3603.515354992577,0.9982621001719775,0.00018524732604005515
3603.517669758812,0.9972489768366504,0.00018515795575197605
3603.519984525512,0.9987915258251086,0.00018529321146466276
3603.5222992922118,0.9979556279937161,0.0001852162633574024
3603.524614058446,0.9989939846394296,0.00018531182304407342
3603.5269288251457,0.9970069502961834,0.0001851370593011226
3603.5292435913807,0.9980205474964943,0.00018522605359769847
3603.5315583576157,0.9974665993304525,0.00018516556234931094
3603.533873124316,0.9985497362171335,0.00018527108581081793
3603.53618789055,0.9978004372115273,0.00018521251790358162
3603.5385026572512,0.9984104199119014,0.0001852648819510144
3603.5408174234863,0.9975991630596657,0.0001851871673995359
3603.54313218972,0.9986114571312712,0.00018527597370036013
3603.54544695642,0.9964706536007875,0.00018507973505808934
3603.5477617226543,0.9973407881772582,0.00018516303163726986
3603.5500764888893,0.9987966198736842,0.0001852975642893734
3603.55239125559,0.9979544433312566,0.00018522141154875456
3603.554706021824,0.9991889800802561,0.00018533491759909967
3603.5570207880583,0.9983083020078962,0.00018525646552582635
3603.559335554758,0.9979389242530378,0.00018521494738714105
3603.561650320993,0.9967369657216733,0.00018510579416150657
3603.563965087228,0.9971121483225831,0.0001851365820811377
